Node,Rank
Galdieria sp. CCMEE 5677,species
Galdieria sp. CCMEE 5678,species
Galdieria sp. CCMEE 5679,species
Galdieria sp. CCMEE 5680,species
Galdieria sp. CCMEE 5681,species
Galdieria sp. CCMEE 5702,species
Galdieria sp. CCMEE 5703,species
Galdieria sp. CCMEE 5704,species
Galdieria sp. CCMEE 5705,species
Galdieria sp. CCMEE 5706,species
Galdieria sp. CCMEE 5707,species
Galdieria sp. CCMEE 5708,species
Galdieria sp. CCMEE 5709,species
Galdieria sp. CCMEE 5710,species
Galdieria sp. CCMEE 5711,species
Galdieria sp. CCMEE 5712,species
Galdieria sp. CCMEE 5713,species
Galdieria sp. CCMEE 5714,species
Galdieria sp. CCMEE 5715,species
Galdieria sp. CCMEE 5716,species
Galdieria sp. CCMEE 5717,species
Galdieria sp. CCMEE 5718,species
Galdieria sp. CCMEE 5719,species
Galdieria sp. CCMEE 5720,species
Galdieria sp. 1 CJH-2013,species
Galdieria sp. CJH-2014,species
Galdieria sp.,species
Galdieria sp. ACUF 613,species
Galdieria phlegrea,species
Galdieria yellowstonensis,species
Florideophyceae,class
unclassified Florideophyceae,no rank
Florideophyceae sp. ex Dinophysis acuminata,species
Florideophyceae sp.,species
Rhodachlyales,order
Rhodachlyaceae,family
Rhodachlya,genus
Rhodachlya madagascarensis,species
Rhodachlya hawaiiana,species
unclassified Rhodachlya,no rank
Rhodachlya sp. ARS-2011,species
Rhodachlya sp.,species
environmental samples,no rank
uncultured Florideophyceae,species
Corallinophycidae,subclass
Corallinales,order
Corallinaceae,family
Metagoniolithoideae,subfamily
Amphiroideae,subfamily
Corallinoideae,subfamily
Jania,genus
Jania adhaerens,species
Jania crassa,species
Jania rubens,species
Jania rubens var. corniculata,varietas
Jania rubens var. rubens,varietas
Jania ungulata,species
Jania verrucosa,species
Jania natalensis,species
Jania capillacea,species
Jania rosea,species
Jania sagittata,species
Jania micrarthrodia,species
Jania sphaeroramosa,species
unclassified Jania,no rank
Jania sp. 240-360,species
Jania sp. OK239,species
Jania sp. KC145,species
Jania sp. ARS-2011,species
Jania sp. SYK-2014,species
Jania sp. CJW-2015,species
Jania sp. HV221,species
Jania sp. KZN2252_MR,species
Jania sp.,species
Jania sp. 2 WAN-2018,species
Jania sp. 1 WAN-2018,species
Jania cf. rosea 1,species
Jania cf. rosea 3,species
Jania sp. C_Twist-2019,species
Jania sp. J_Twist-2019,species
Jania sp. 1 JFC-2019,species
Jania sp. A_Twist-2019,species
Jania sp. E_Twist-2019,species
Jania sp. 1 PCC-2021,species
Jania sp. 2 PCC-2021,species
Jania cabista,species
Jania spectabilis,species
Corallina,genus
Corallina officinalis,species
Corallina officinalis var. chilensis,varietas
Corallina pilulifera,species
Corallina declinata,species
environmental samples,no rank
uncultured Corallina sp.,species
Corallina pinnatifolia,species
Corallina vancouveriensis,species
Corallina caespitosa,species
Corallina crassissima,species
Corallina aberrans,species
Corallina melobesioides,species
Corallina panizzoi,species
Corallina ferreyrae,species
Corallina chilensis,species
unclassified Corallina,no rank
Corallina sp. 6566,species
Corallina sp. 99100,species
Corallina sp. 5758,species
Corallina sp. 6768,species
Corallina sp. CAM1,species
Corallina sp. RHW003,species
Corallina sp. 343a,species
Corallina sp. MAD1,species
Corallina sp. NZC2113,species
